payment_id,amount,refund,fee,tax,settlement
pay_00090,4230.75,0.0,84.61,15.23,4130.91
pay_00091,3213.24,0.0,64.26,11.57,3137.41
pay_00092,7430.27,0.0,148.61,26.75,7254.91
pay_00093,1566.02,0.0,31.32,5.64,1529.06
pay_00094,252.48,0.0,5.05,0.91,246.52
pay_00095,4076.94,0.0,81.54,14.68,3980.72
pay_00096,6529.77,996.9,130.6,23.51,5378.76
pay_00097,13578.14,0.0,271.56,48.88,13257.7
pay_00098,8821.14,0.0,176.42,31.76,8612.96
pay_00099,4762.22,0.0,95.24,17.14,4649.84
pay_00100,12938.4,0.0,258.77,46.58,12633.05
